あす,明日
かわせ,為替
あずき,小豆
かわら,河原/川原
あま,海女/海士
きのう,昨日
いおう,硫黄
きょう,今日
いくじ,意気地
くだもの,果物
いなか,田舎
くろうと,玄人
いぶき,息吹
けさ,今朝
うなばら,海原
けしき,景色
うば,乳母
ここち,心地
うわき,浮気
こじ,居士
うわつく,浮つく
ことし,今年
えがお,笑顔
さおとめ,早乙女
おじ,叔父/伯父
ざこ,雑魚
おとな,大人
さじき,桟敷
おとめ,乙女
さしつかえる,差し支える
おば,叔母/伯母
さつき,五月
おまわりさん,お巡りさん
さなえ,早苗
おみき,お神酒
さみだれ,五月雨
おもや,母屋/母家
しぐれ,時雨
かあさん,母さん
しっぽ,尻尾
かぐら,神楽
しない,竹刀
かし,河岸
しにせ,老舗
かじ,鍛冶
しばふ,芝生
かぜ,風邪
しみず,清水
かたず,固唾
しゃみせん,三味線
かな,仮名
じゃり,砂利
かや,蚊帳
じゅず,数珠
じょうず,上手
のりと,祝詞
しらが,白髪
はかせ,博士
しろうと,素人
はたち,二十/二十歳
しわす,師走
はつか,二十日
すきや,数寄屋/数奇屋
はとば,波止場
すもう,相撲
ひとり,一人
ぞうり,草履
ひより,日和
だし,山車
ふたり,二人
たち,太刀
ふつか,二日
たちのく,立ち退く
ふぶき,吹雪
たなばた,七夕
へた,下手
たび,足袋
へや,部屋
ちご,稚児
まいご,迷子
ついたち,一日
まじめ,真面目
つきやま,築山
まっか,真っ赤
つゆ,梅雨
まっさお,真っ青
でこぼこ,凸凹
みやげ,土産
てつだう,手伝う
むすこ,息子
てんません,伝馬船
めがね,眼鏡
とあみ,投網
もさ,猛者
とうさん,父さん
もみじ,紅葉
とえはたえ,十重二十重
もめん,木綿
どきょう,読経
もより,最寄り
とけい,時計
やおちょう,八百長
ともだち,友達
やおや,八百屋
なこうど,仲人
やまと,大和
なごり,名残
やよい,弥生
なだれ,雪崩
ゆかた,浴衣
にいさん,兄さん
ゆくえ,行方
ねえさん,姉さん
よせ,寄席
のら,野良
わこうど,若人